"Area","Item","Year","Area harvested","Yield","Production"
"United States of America","Maize","1983",20834000,50893,106030000
"United States of America","Maize","1984",29095008,66981,194880000
"United States of America","Maize","1985",30436000,74074,225453008
"United States of America","Maize","1986",27885008,74930,208943008
"United States of America","Maize","1987",24080000,75225,181142000
"United States of America","Maize","1988",23573008,53109,125194000
"United States of America","Maize","1989",26216000,72978,191319008
"United States of America","Maize","1990",27094800,74380,201532000
"United States of America","Maize","1991",27851580,68171,189867780
"United States of America","Maize","1992",29168840,82526,240719220
"United States of America","Maize","1993",25468360,63210,160985760
"United States of America","Maize","1994",29345690,86996,255294970
"United States of America","Maize","1995",26389830,71228,187969950
"United States of America","Maize","1996",29398300,79773,234517750
"United States of America","Maize","1997",29409230,79521,233864300
"United States of America","Maize","1998",29376040,84382,247882020
"United States of America","Maize","1999",28525380,83977,239548580
"United States of America","Maize","2000",29315740,85911,251853900
"United States of America","Maize","2001",27829720,86733,241376650
"United States of America","Maize","2002",28057160,81180,227766880
"United States of America","Maize","2003",28710330,89246,256229020
"United States of America","Maize","2004",29797730,100637,299875570
"United States of America","Maize","2005",30399100,92852,282262550
"United States of America","Maize","2006",28586490,93577,267502850
"United States of America","Maize","2007",35013780,94585,331177280
"United States of America","Maize","2008",31796490,96209,305911450
"United States of America","Maize","2009",32168810,103181,331921050
"United States of America","Maize","2010",32960380,95757,315617920
"United States of America","Maize","2011",33944990,92146,312788890
"United States of America","Maize","2012",35355740,77270,273192400
"United States of America","Maize","2013",35390550,99256,351271870
"United States of America","Maize","2014",33644310,107326,361091140
"United States of America","Maize","2015",32678310,105723,345486340
"United States of America","Maize","2016",35106050,117433,412262180
"United States of America","Maize","2017",33481220,118754,397602890
"United States of America","Maize","2018",33079360,118639,392450840
"United States of America","Maize, green","1961",263297,82225,2164958
"United States of America","Maize, green","1962",263030,84800,2230484
"United States of America","Maize, green","1963",242630,87734,2128688
"United States of America","Maize, green","1964",222934,85377,1903354
"United States of America","Maize, green","1965",233205,88345,2060251
"United States of America","Maize, green","1966",259161,89972,2331725
"United States of America","Maize, green","1967",267655,93521,2503137
"United States of America","Maize, green","1968",280346,99649,2793615
"United States of America","Maize, green","1969",258105,96978,2503046
"United States of America","Maize, green","1970",244285,94448,2307231
"United States of America","Maize, green","1971",246612,98840,2437502
"United States of America","Maize, green","1972",247757,101927,2525317
"United States of America","Maize, green","1973",257336,102053,2626200
"United States of America","Maize, green","1974",258813,96914,2508265
"United States of America","Maize, green","1975",278460,101415,2824000
"United States of America","Maize, green","1976",261050,103529,2702630
"United States of America","Maize, green","1977",255264,109934,2806230
"United States of America","Maize, green","1978",247148,115174,2846504
"United States of America","Maize, green","1979",241772,118780,2871760
"United States of America","Maize, green","1980",224941,115830,2605500
"United States of America","Maize, green","1981",236616,118568,2805520
"United States of America","Maize, green","1982",256160,122612,3140840
"United States of America","Maize, green","1983",239000,112751,2694740
"United States of America","Maize, green","1984",250982,120423,3022400
"United States of America","Maize, green","1985",253500,122667,3109600
"United States of America","Maize, green","1986",242200,124050,3004500
"United States of America","Maize, green","1987",253000,130870,3311000
"United States of America","Maize, green","1988",253650,112320,2849000
"United States of America","Maize, green","1989",260000,131038,3407000
"United States of America","Maize, green","1990",276590,130977,3622700
"United States of America","Maize, green","1991",295040,128293,3785150
"United States of America","Maize, green","1992",286350,132274,3787680
"United States of America","Maize, green","1993",275860,120479,3323540
"United States of America","Maize, green","1994",300190,146177,4388100
"United States of America","Maize, green","1995",286960,139535,4004100
"United States of America","Maize, green","1996",284080,142192,4039400
"United States of America","Maize, green","1997",284170,144435,4104400
"United States of America","Maize, green","1998",285180,145413,4146900
"United States of America","Maize, green","1999",284740,146132,4160960
"United States of America","Maize, green","2000",283121,153312,4340585
"United States of America","Maize, green","2001",280078,155808,4363838
"United States of America","Maize, green","2002",268240,159141,4268803
"United States of America","Maize, green","2003",268390,168153,4513066
"United States of America","Maize, green","2004",258921,162157,4198595
"United States of America","Maize, green","2005",256780,170302,4373010
"United States of America","Maize, green","2006",244028,174297,4253324
"United States of America","Maize, green","2007",243462,172115,4190350
"United States of America","Maize, green","2008",240340,161455,3880410
"United States of America","Maize, green","2009",249350,170122,4242000
"United States of America","Maize, green","2010",236860,159927,3788030
"United States of America","Maize, green","2011",230550,159815,3684530
"United States of America","Maize, green","2012",233840,168946,3950630
"United States of America","Maize, green","2013",219880,164202,3610470
"United States of America","Maize, green","2014",211790,162780,3447520
"United States of America","Maize, green","2015",163040,216208,3525060
"United States of America","Maize, green","2016",193610,170175,3294760
"United States of America","Maize, green","2017",188020,182562,3432530
"United States of America","Maize, green","2018",191460,173609,3323910
"United States of America","Mangoes, mangosteens, guavas","1961",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1962",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1963",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1964",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1965",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1966",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1967",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1968",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1969",NA,NA,NA
"United States of America","Mangoes, mangosteens, guavas","1970",570,64737,3690
"United States of America","Mangoes, mangosteens, guavas","1971",570,78772,4490
"United States of America","Mangoes, mangosteens, guavas","1972",570,76579,4365
"United States of America","Mangoes, mangosteens, guavas","1973",570,109421,6237
"United States of America","Mangoes, mangosteens, guavas","1974",550,102055,5613
"United States of America","Mangoes, mangosteens, guavas","1975",670,121015,8108
"United States of America","Mangoes, mangosteens, guavas","1976",690,144623,9979
"United States of America","Mangoes, mangosteens, guavas","1977",670,65164,4366
"United States of America","Mangoes, mangosteens, guavas","1978",670,83776,5613
"United States of America","Mangoes, mangosteens, guavas","1979",590,109932,6486
"United States of America","Mangoes, mangosteens, guavas","1980",590,105712,6237
"United States of America","Mangoes, mangosteens, guavas","1981",590,101475,5987
"United States of America","Mangoes, mangosteens, guavas","1982",610,92016,5613
"United States of America","Mangoes, mangosteens, guavas","1983",610,148689,9070
"United States of America","Mangoes, mangosteens, guavas","1984",690,157826,10890
"United States of America","Mangoes, mangosteens, guavas","1985",730,149178,10890
"United States of America","Mangoes, mangosteens, guavas","1986",850,117400,9979
"United States of America","Mangoes, mangosteens, guavas","1987",890,152921,13610
"United States of America","Mangoes, mangosteens, guavas","1988",970,93505,9070
"United States of America","Mangoes, mangosteens, guavas","1989",1010,98802,9979
"United States of America","Mangoes, mangosteens, guavas","1990",1010,86436,8730
"United States of America","Mangoes, mangosteens, guavas","1991",1010,123465,12470
"United States of America","Mangoes, mangosteens, guavas","1992",1010,98812,9980
"United States of America","Mangoes, mangosteens, guavas","1993",65,140000,910
"United States of America","Mangoes, mangosteens, guavas","1994",647,41886,2710
"United States of America","Mangoes, mangosteens, guavas","1995",607,59802,3630
"United States of America","Mangoes, mangosteens, guavas","1996",607,44811,2720
"United States of America","Mangoes, mangosteens, guavas","1997",567,47972,2720
"United States of America","Mangoes, mangosteens, guavas","1998",567,50032,2837
"United States of America","Mangoes, mangosteens, guavas","1999",567,48318,2740
"United States of America","Mangoes, mangosteens, guavas","2000",690,43478,3000
"United States of America","Mangoes, mangosteens, guavas","2001",688,45897,3158
"United States of America","Mangoes, mangosteens, guavas","2002",526,43726,2300
"United States of America","Mangoes, mangosteens, guavas","2003",600,43333,2600
"United States of America","Mangoes, mangosteens, guavas","2004",650,43077,2800
"United States of America","Mangoes, mangosteens, guavas","2005",592,48111,2850
"United States of America","Mangoes, mangosteens, guavas","2006",558,50209,2800
"United States of America","Mangoes, mangosteens, guavas","2007",500,44000,2200
"United States of America","Mangoes, mangosteens, guavas","2008",420,42857,1800
"United States of America","Mangoes, mangosteens, guavas","2009",230,41435,953
"United States of America","Mangoes, mangosteens, guavas","2010",47,125532,590
"United States of America","Mangoes, mangosteens, guavas","2011",45,191556,862
"United States of America","Mangoes, mangosteens, guavas","2012",52,198760,1042
"United States of America","Mangoes, mangosteens, guavas","2013",41,246420,998
"United States of America","Mangoes, mangosteens, guavas","2014",41,201481,816
"United States of America","Mangoes, mangosteens, guavas","2015",48,194476,930
"United States of America","Mangoes, mangosteens, guavas","2016",50,194455,974
"United States of America","Mangoes, mangosteens, guavas","2017",53,193319,1019
"United States of America","Mangoes, mangosteens, guavas","2018",53,192376,1019
"United States of America","Melons, other (inc.cantaloupes)","1961",52588,121505,638973
"United States of America","Melons, other (inc.cantaloupes)","1962",55987,118123,661334
"United States of America","Melons, other (inc.cantaloupes)","1963",52730,126520,667140
"United States of America","Melons, other (inc.cantaloupes)","1964",53114,115067,611167
"United States of America","Melons, other (inc.cantaloupes)","1965",48521,120920,586718
"United States of America","Melons, other (inc.cantaloupes)","1966",45689,118746,542539
"United States of America","Melons, other (inc.cantaloupes)","1967",47955,133519,640288
"United States of America","Melons, other (inc.cantaloupes)","1968",50848,133112,676847
"United States of America","Melons, other (inc.cantaloupes)","1969",55887,127165,710685
"United States of America","Melons, other (inc.cantaloupes)","1970",49739,138733,690046
"United States of America","Melons, other (inc.cantaloupes)","1971",45607,143426,654122
"United States of America","Melons, other (inc.cantaloupes)","1972",44899,155093,696351
"United States of America","Melons, other (inc.cantaloupes)","1973",43301,144087,623913
"United States of America","Melons, other (inc.cantaloupes)","1974",33265,162332,539999
"United States of America","Melons, other (inc.cantaloupes)","1975",35705,155661,555786
"United States of America","Melons, other (inc.cantaloupes)","1976",36291,156058,566350
"United States of America","Melons, other (inc.cantaloupes)","1977",38639,158389,612000
"United States of America","Melons, other (inc.cantaloupes)","1978",47891,158485,759000
"United States of America","Melons, other (inc.cantaloupes)","1979",45615,158062,721000
"United States of America","Melons, other (inc.cantaloupes)","1980",42714,163764,699500
"United States of America","Melons, other (inc.cantaloupes)","1981",42896,177173,760000
"United States of America","Melons, other (inc.cantaloupes)","1982",55000,169927,934600
"United States of America","Melons, other (inc.cantaloupes)","1983",49000,170816,837000
"United States of America","Melons, other (inc.cantaloupes)","1984",54000,172593,932000
"United States of America","Melons, other (inc.cantaloupes)","1985",59000,180678,1066000
"United States of America","Melons, other (inc.cantaloupes)","1986",65000,181385,1179000
"United States of America","Melons, other (inc.cantaloupes)","1987",62000,183516,1137800
"United States of America","Melons, other (inc.cantaloupes)","1988",56400,178191,1005000
"United States of America","Melons, other (inc.cantaloupes)","1989",69000,176478,1217700
"United States of America","Melons, other (inc.cantaloupes)","1990",59000,175051,1032800
"United States of America","Melons, other (inc.cantaloupes)","1991",53000,173811,921200
"United States of America","Melons, other (inc.cantaloupes)","1992",54875,188884,1036500
"United States of America","Melons, other (inc.cantaloupes)","1993",52660,196210,1033240
"United States of America","Melons, other (inc.cantaloupes)","1994",51750,198802,1028800
"United States of America","Melons, other (inc.cantaloupes)","1995",51020,207095,1056600
"United States of America","Melons, other (inc.cantaloupes)","1996",51980,229588,1193400
"United States of America","Melons, other (inc.cantaloupes)","1997",52330,222492,1164300
"United States of America","Melons, other (inc.cantaloupes)","1998",51020,234522,1196530
"United States of America","Melons, other (inc.cantaloupes)","1999",54570,231774,1264790
"United States of America","Melons, other (inc.cantaloupes)","2000",52000,230769,1200000
"United States of America","Melons, other (inc.cantaloupes)","2001",48690,254268,1238030
"United States of America","Melons, other (inc.cantaloupes)","2002",46210,270013,1247730
"United States of America","Melons, other (inc.cantaloupes)","2003",44190,280756,1240660
"United States of America","Melons, other (inc.cantaloupes)","2004",44050,279022,1229090
"United States of America","Melons, other (inc.cantaloupes)","2005",45430,259522,1179010
"United States of America","Melons, other (inc.cantaloupes)","2006",45530,247208,1125540
"United States of America","Melons, other (inc.cantaloupes)","2007",36970,301453,1114470
"United States of America","Melons, other (inc.cantaloupes)","2008",35990,289672,1042530
"United States of America","Melons, other (inc.cantaloupes)","2009",36270,285961,1037180
"United States of America","Melons, other (inc.cantaloupes)","2010",36960,280314,1036040
"United States of America","Melons, other (inc.cantaloupes)","2011",34864,291536,1016411
"United States of America","Melons, other (inc.cantaloupes)","2012",32150,282059,906820
"United States of America","Melons, other (inc.cantaloupes)","2013",33610,293910,987830
"United States of America","Melons, other (inc.cantaloupes)","2014",29400,267697,787030
"United States of America","Melons, other (inc.cantaloupes)","2015",26910,291944,785620
"United States of America","Melons, other (inc.cantaloupes)","2016",28770,300469,864450
"United States of America","Melons, other (inc.cantaloupes)","2017",30290,280914,850890
"United States of America","Melons, other (inc.cantaloupes)","2018",30590,285087,872080
"United States of America","Millet","1961",97000,11546,112000
"United States of America","Millet","1962",99000,11717,116000
"United States of America","Millet","1963",95200,12500,119000
"United States of America","Millet","1964",95000,12526,119000
"United States of America","Millet","1965",99000,12727,126000
"United States of America","Millet","1966",102000,12745,130000
"United States of America","Millet","1967",108000,12963,140000
"United States of America","Millet","1968",128246,13253,169969
"United States of America","Millet","1969",117000,13248,155000
"United States of America","Millet","1970",113000,13274,150000
"United States of America","Millet","1971",98500,13198,130000
"United States of America","Millet","1972",98500,13198,130000
"United States of America","Millet","1973",96000,12500,120000
"United States of America","Millet","1974",82000,12195,1e+05
"United States of America","Millet","1975",78500,12102,95000
"United States of America","Millet","1976",70000,12143,85000
"United States of America","Millet","1977",72000,12222,88000
"United States of America","Millet","1978",59594,12176,72564
"United States of America","Millet","1979",76000,11974,91000
"United States of America","Millet","1980",87500,13714,120000
"United States of America","Millet","1981",80850,13605,110000
"United States of America","Millet","1982",80909,13528,109455
"United States of America","Millet","1983",96000,13542,130000
"United States of America","Millet","1984",115500,13853,160000
"United States of America","Millet","1985",101000,13861,140000
"United States of America","Millet","1986",126700,14207,180000
"United States of America","Millet","1987",118104,15084,178151
"United States of America","Millet","1988",107000,14953,160000
"United States of America","Millet","1989",113000,15044,170000
"United States of America","Millet","1990",120000,15000,180000
"United States of America","Millet","1991",158925,14438,229461
"United States of America","Millet","1992",159874,14478,231467
"United States of America","Millet","1993",160757,14513,233302
"United States of America","Millet","1994",161539,14540,234874
"United States of America","Millet","1995",126600,15008,190000
"United States of America","Millet","1996",162856,14573,237333
"United States of America","Millet","1997",163736,14606,239151
"United States of America","Millet","1998",133000,15038,2e+05
"United States of America","Millet","1999",218530,18587,406190
"United States of America","Millet","2000",149740,11087,166010
"United States of America","Millet","2001",236740,18590,440100
"United States of America","Millet","2002",111290,7475,83190
"United States of America","Millet","2003",250910,10350,259680
"United States of America","Millet","2004",240790,14190,341670
"United States of America","Millet","2005",208420,14875,310030
"United States of America","Millet","2006",192230,12028,231220
"United States of America","Millet","2007",210440,18214,383290
"United States of America","Millet","2008",186160,18128,337470
"United States of America","Millet","2009",107240,18769,201280
"United States of America","Millet","2010",146900,17809,261610
"United States of America","Millet","2011",136790,15169,207500
"United States of America","Millet","2012",82960,8406,69740
"United States of America","Millet","2013",258190,16194,418120
"United States of America","Millet","2014",174020,17572,305790
"United States of America","Millet","2015",169160,18983,321120
"United States of America","Millet","2016",167140,20448,341770
"United States of America","Millet","2017",163090,24846,405210
"United States of America","Millet","2018",163090,20010,326340
"United States of America","Mushrooms and truffles","1961",NA,NA,50000
"United States of America","Mushrooms and truffles","1962",NA,NA,55000
"United States of America","Mushrooms and truffles","1963",NA,NA,60000
"United States of America","Mushrooms and truffles","1964",NA,NA,65000
"United States of America","Mushrooms and truffles","1965",NA,NA,70000
"United States of America","Mushrooms and truffles","1966",NA,NA,72000
"United States of America","Mushrooms and truffles","1967",NA,NA,74976
"United States of America","Mushrooms and truffles","1968",NA,NA,85638
"United States of America","Mushrooms and truffles","1969",NA,NA,87906
"United States of America","Mushrooms and truffles","1970",NA,NA,93802
"United States of America","Mushrooms and truffles","1971",NA,NA,104948
"United States of America","Mushrooms and truffles","1972",NA,NA,115212
"United States of America","Mushrooms and truffles","1973",NA,NA,115213
"United States of America","Mushrooms and truffles","1974",NA,NA,126775
"United States of America","Mushrooms and truffles","1975",NA,NA,135660
"United States of America","Mushrooms and truffles","1976",NA,NA,140529
"United States of America","Mushrooms and truffles","1977",NA,NA,157454
"United States of America","Mushrooms and truffles","1978",NA,NA,180848
"United States of America","Mushrooms and truffles","1979",NA,NA,205930
"United States of America","Mushrooms and truffles","1980",NA,NA,213200
"United States of America","Mushrooms and truffles","1981",NA,NA,212990
"United States of America","Mushrooms and truffles","1982",NA,NA,234570
"United States of America","Mushrooms and truffles","1983",NA,NA,222630
"United States of America","Mushrooms and truffles","1984",NA,NA,254700
"United States of America","Mushrooms and truffles","1985",NA,NA,270200
"United States of America","Mushrooms and truffles","1986",NA,NA,266700
"United States of America","Mushrooms and truffles","1987",NA,NA,278700
"United States of America","Mushrooms and truffles","1988",NA,NA,286600
"United States of America","Mushrooms and truffles","1989",NA,NA,302900
"United States of America","Mushrooms and truffles","1990",NA,NA,324315
"United States of America","Mushrooms and truffles","1991",NA,NA,338760
"United States of America","Mushrooms and truffles","1992",NA,NA,352150
"United States of America","Mushrooms and truffles","1993",NA,NA,340560
"United States of America","Mushrooms and truffles","1994",NA,NA,354250
"United States of America","Mushrooms and truffles","1995",NA,NA,352836
"United States of America","Mushrooms and truffles","1996",NA,NA,352300
"United States of America","Mushrooms and truffles","1997",NA,NA,366810
"United States of America","Mushrooms and truffles","1998",NA,NA,384540
"United States of America","Mushrooms and truffles","1999",NA,NA,387550
"United States of America","Mushrooms and truffles","2000",NA,NA,383830
"United States of America","Mushrooms and truffles","2001",NA,NA,376980
"United States of America","Mushrooms and truffles","2002",NA,NA,377080
"United States of America","Mushrooms and truffles","2003",NA,NA,387601
"United States of America","Mushrooms and truffles","2004",NA,NA,387601
"United States of America","Mushrooms and truffles","2005",NA,NA,386984
"United States of America","Mushrooms and truffles","2006",NA,NA,382541
"United States of America","Mushrooms and truffles","2007",NA,NA,359630
"United States of America","Mushrooms and truffles","2008",NA,NA,368591
"United States of America","Mushrooms and truffles","2009",NA,NA,371844
"United States of America","Mushrooms and truffles","2010",NA,NA,359469
"United States of America","Mushrooms and truffles","2011",NA,NA,390902
"United States of America","Mushrooms and truffles","2012",NA,NA,402904
"United States of America","Mushrooms and truffles","2013",NA,NA,408157
"United States of America","Mushrooms and truffles","2014",NA,NA,432100
"United States of America","Mushrooms and truffles","2015",NA,NA,420853
"United States of America","Mushrooms and truffles","2016",NA,NA,427925
"United States of America","Mushrooms and truffles","2017",NA,NA,421208
"United States of America","Mushrooms and truffles","2018",NA,NA,416050
"United States of America","Mustard seed","1961",11400,9496,10825
"United States of America","Mustard seed","1962",7500,9493,7120
"United States of America","Mustard seed","1963",5000,9432,4716
"United States of America","Mustard seed","1964",7000,9409,6586
"United States of America","Mustard seed","1965",6000,9570,5742
"United States of America","Mustard seed","1966",6000,9528,5717
"United States of America","Mustard seed","1967",6000,9465,5679
"United States of America","Mustard seed","1968",5000,9536,4768
"United States of America","Mustard seed","1969",4800,9450,4536
"United States of America","Mustard seed","1970",12300,10000,12300
"United States of America","Mustard seed","1971",13800,9522,13140
"United States of America","Mustard seed","1972",14700,9510,13980
"United States of America","Mustard seed","1973",15600,9500,14820
"United States of America","Mustard seed","1974",16400,9512,15600
"United States of America","Mustard seed","1975",16700,9479,15830
"United States of America","Mustard seed","1976",16800,9524,16000
"United States of America","Mustard seed","1977",17000,9518,16180
"United States of America","Mustard seed","1978",17200,9506,16350
"United States of America","Mustard seed","1979",15600,9487,14800
"United States of America","Mustard seed","1980",14000,9471,13260
"United States of America","Mustard seed","1981",12300,9520,11710
"United States of America","Mustard seed","1982",10700,9495,10160
"United States of America","Mustard seed","1983",11200,9482,10620
"United States of America","Mustard seed","1984",11700,9470,11080
"United States of America","Mustard seed","1985",12100,9537,11540
"United States of America","Mustard seed","1986",12600,9524,12000
"United States of America","Mustard seed","1987",8300,9470,7860
"United States of America","Mustard seed","1988",8200,9500,7790
"United States of America","Mustard seed","1989",8100,9543,7730
"United States of America","Mustard seed","1990",8050,9516,7660
"United States of America","Mustard seed","1991",7320,10374,7594
"United States of America","Mustard seed","1992",5990,10985,6580
"United States of America","Mustard seed","1993",6640,8458,5616
"United States of America","Mustard seed","1994",5420,10886,5900
"United States of America","Mustard seed","1995",8900,9326,8300
"United States of America","Mustard seed","1996",7530,8792,6620
"United States of America","Mustard seed","1997",30230,8895,26890
"United States of America","Mustard seed","1998",38690,9584,37080
"United States of America","Mustard seed","1999",23800,9160,21800
"United States of America","Mustard seed","2000",17483,9581,16751
"United States of America","Mustard seed","2001",17887,10424,18645
"United States of America","Mustard seed","2002",70821,7339,51977
"United States of America","Mustard seed","2003",43302,8105,35095
"United States of America","Mustard seed","2004",27802,9184,25533
"United States of America","Mustard seed","2005",18049,8824,15927
"United States of America","Mustard seed","2006",15864,8069,12800
"United States of America","Mustard seed","2007",23067,6818,15726
"United States of America","Mustard seed","2008",28935,6467,18713
"United States of America","Mustard seed","2009",20150,11112,22390
"United States of America","Mustard seed","2010",19470,9753,18990
"United States of America","Mustard seed","2011",8820,8050,7100
"United States of America","Mustard seed","2012",20110,7041,14160
"United States of America","Mustard seed","2013",17560,9487,16660
"United States of America","Mustard seed","2014",12630,10420,13160
"United States of America","Mustard seed","2015",16230,7523,12210
"United States of America","Mustard seed","2016",39740,10989,43670
"United States of America","Mustard seed","2017",38610,6957,26860
"United States of America","Mustard seed","2018",39460,8401,33150
"United States of America","Nuts nes","1961",NA,NA,113633
"United States of America","Nuts nes","1962",NA,NA,34470
"United States of America","Nuts nes","1963",NA,NA,173460
"United States of America","Nuts nes","1964",NA,NA,84583
"United States of America","Nuts nes","1965",NA,NA,117865
"United States of America","Nuts nes","1966",NA,NA,77326
"United States of America","Nuts nes","1967",NA,NA,108849
"United States of America","Nuts nes","1968",NA,NA,92099
"United States of America","Nuts nes","1969",NA,NA,107119
"United States of America","Nuts nes","1970",NA,NA,76347
"United States of America","Nuts nes","1971",NA,NA,118227
"United States of America","Nuts nes","1972",NA,NA,89086
"United States of America","Nuts nes","1973",NA,NA,130634
"United States of America","Nuts nes","1974",NA,NA,69671
"United States of America","Nuts nes","1975",NA,NA,120201
"United States of America","Nuts nes","1976",NA,NA,55429
"United States of America","Nuts nes","1977",NA,NA,116210
"United States of America","Nuts nes","1978",NA,NA,122923
"United States of America","Nuts nes","1979",NA,NA,107592
"United States of America","Nuts nes","1980",NA,NA,98429
"United States of America","Nuts nes","1981",NA,NA,169008
"United States of America","Nuts nes","1982",NA,NA,115847
"United States of America","Nuts nes","1983",NA,NA,138980
"United States of America","Nuts nes","1984",NA,NA,122560
"United States of America","Nuts nes","1985",65000,19985,129900
"United States of America","Nuts nes","1986",65000,22100,143650
"United States of America","Nuts nes","1987",65000,21262,138200
"United States of America","Nuts nes","1988",65000,24662,160300
"United States of America","Nuts nes","1989",65000,21000,136500
"United States of America","Nuts nes","1990",60000,19283,115700
"United States of America","Nuts nes","1991",66000,23939,158000
"United States of America","Nuts nes","1992",54000,17976,97070
"United States of America","Nuts nes","1993",75000,25013,187600
"United States of America","Nuts nes","1994",57000,20014,114080
"United States of America","Nuts nes","1995",65000,22231,144500
"United States of America","Nuts nes","1996",55000,21936,120650
"United States of America","Nuts nes","1997",73000,24425,178300
"United States of America","Nuts nes","1998",41000,22561,92500
"United States of America","Nuts nes","1999",84000,25000,210000
"United States of America","Nuts nes","2000",45000,26189,117850
"United States of America","Nuts nes","2001",69000,25941,178990
"United States of America","Nuts nes","2002",40000,25628,102510
"United States of America","Nuts nes","2003",58000,26215,152045
"United States of America","Nuts nes","2004",42500,25871,109951
"United States of America","Nuts nes","2005",45700,25766,117750
"United States of America","Nuts nes","2006",38000,25082,95310
"United States of America","Nuts nes","2007",60000,25565,153390
"United States of America","Nuts nes","2008",43200,25625,110700
"United States of America","Nuts nes","2009",59000,23219,136994
"United States of America","Nuts nes","2010",60860,21893,133238
"United States of America","Nuts nes","2011",58316,20978,122334
"United States of America","Nuts nes","2012",65000,21096,137121
"United States of America","Nuts nes","2013",61817,19542,120805
"United States of America","Nuts nes","2014",55400,21627,119816
"United States of America","Nuts nes","2015",85672,14899,127643
"United States of America","Nuts nes","2016",159325,7652,121912
"United States of America","Nuts nes","2017",163817,8441,138278
"United States of America","Nuts nes","2018",172720,7307,126200
"United States of America","Oats","1961",9666550,15171,14665374
"United States of America","Oats","1962",9056000,16225,14693000
"United States of America","Oats","1963",8623000,16253,14015000
"United States of America","Oats","1964",7996000,15472,12371054
"United States of America","Oats","1965",7495726,18001,13493086
"United States of America","Oats","1966",7234626,16118,11660712
"United States of America","Oats","1967",6519638,17674,11522678
"United States of America","Oats","1968",7166437,19256,13799930
"United States of America","Oats","1969",7272706,19277,14019719
"United States of America","Oats","1970",7524822,17655,13284977
"United States of America","Oats","1971",6355580,20054,12745488
"United States of America","Oats","1972",5426961,18472,10024509
"United States of America","Oats","1973",5572686,17169,9567725
"United States of America","Oats","1974",5102200,17088,8718507
"United States of America","Oats","1975",5276210,17578,9274504
"United States of America","Oats","1976",4788980,16380,7844501
"United States of America","Oats","1977",5457100,20023,10926515
"United States of America","Oats","1978",4502580,18751,8442730
"United States of America","Oats","1979",3918100,19514,7645730
"United States of America","Oats","1980",3503300,19009,6659370
"United States of America","Oats","1981",3806800,19428,7395810
"United States of America","Oats","1982",4151200,20722,8602000
"United States of America","Oats","1983",3667000,18860,6916000
"United States of America","Oats","1984",3303500,20812,6875200
"United States of America","Oats","1985",3297000,22827,7526000
"United States of America","Oats","1986",2768000,20188,5588000
"United States of America","Oats","1987",2787500,19460,5424400
"United States of America","Oats","1988",2238000,14111,3158000
"United States of America","Oats","1989",2785000,19472,5423000
"United States of America","Oats","1990",2406000,21567,5189000
"United States of America","Oats","1991",1948990,18161,3539490
"United States of America","Oats","1992",1819490,23472,4270720
"United States of America","Oats","1993",1539040,19497,3000690
"United States of America","Oats","1994",1622000,20479,3321660
"United States of America","Oats","1995",1194640,19573,2338270
"United States of America","Oats","1996",1074450,20702,2224350
"United States of America","Oats","1997",1138390,21325,2427570
"United States of America","Oats","1998",1113710,21605,2406120
"United States of America","Oats","1999",989470,21363,2113780
"United States of America","Oats","2000",940900,23011,2165120
"United States of America","Oats","2001",773360,22072,1706990
"United States of America","Oats","2002",832850,20217,1683760
"United States of America","Oats","2003",898410,23327,2095710
"United States of America","Oats","2004",723180,23221,1679310
"United States of America","Oats","2005",737750,22598,1667170
"United States of America","Oats","2006",632940,21447,1357470
"United States of America","Oats","2007",608650,21566,1312590
"United States of America","Oats","2008",572230,22842,1307090
"United States of America","Oats","2009",542280,24369,1321490
"United States of America","Oats","2010",512740,23172,1188140
"United States of America","Oats","2011",354100,20547,727580
"United States of America","Oats","2012",406710,21944,892470
"United States of America","Oats","2013",408330,22978,938280
"United States of America","Oats","2014",418850,24338,1019410
"United States of America","Oats","2015",516380,25168,1299600
"United States of America","Oats","2016",396190,23677,938070
"United States of America","Oats","2017",325370,22120,719720
"United States of America","Oats","2018",350060,23274,814720
"United States of America","Okra","1961",NA,NA,NA
"United States of America","Okra","1962",NA,NA,NA
"United States of America","Okra","1963",NA,NA,NA
"United States of America","Okra","1964",NA,NA,NA
"United States of America","Okra","1965",NA,NA,NA
"United States of America","Okra","1966",NA,NA,NA
"United States of America","Okra","1967",NA,NA,NA
"United States of America","Okra","1968",NA,NA,NA
"United States of America","Okra","1969",NA,NA,NA
"United States of America","Okra","1970",NA,NA,NA
"United States of America","Okra","1971",NA,NA,NA
"United States of America","Okra","1972",NA,NA,NA
"United States of America","Okra","1973",NA,NA,NA
"United States of America","Okra","1974",NA,NA,NA
"United States of America","Okra","1975",NA,NA,NA
"United States of America","Okra","1976",NA,NA,NA
"United States of America","Okra","1977",NA,NA,NA
"United States of America","Okra","1978",NA,NA,NA
"United States of America","Okra","1979",NA,NA,NA
"United States of America","Okra","1980",NA,NA,NA
