"Area","Item","Unit","Year","Flag","Stocks"
"United States of America","Goats","Head","1985",NA,1550000
"United States of America","Goats","Head","1986",NA,1770000
"United States of America","Goats","Head","1987",NA,1780000
"United States of America","Goats","Head","1988",NA,1800000
"United States of America","Goats","Head","1989",NA,1850000
"United States of America","Goats","Head","1990",NA,1900000
"United States of America","Goats","Head","1991",NA,1830000
"United States of America","Goats","Head","1992",NA,2e+06
"United States of America","Goats","Head","1993",NA,1960000
"United States of America","Goats","Head","1994",NA,1960000
"United States of America","Goats","Head","1995",NA,1850000
"United States of America","Goats","Head","1996",NA,1900000
"United States of America","Goats","Head","1997",NA,1650000
"United States of America","Goats","Head","1998",NA,1400000
"United States of America","Goats","Head","1999","F",2250000
"United States of America","Goats","Head","2000","F",2300000
"United States of America","Goats","Head","2001","F",2400000
"United States of America","Goats","Head","2002",NA,2530466
"United States of America","Goats","Head","2003","F",2530000
"United States of America","Goats","Head","2004","F",2525000
"United States of America","Goats","Head","2005",NA,2715000
"United States of America","Goats","Head","2006",NA,2837000
"United States of America","Goats","Head","2007",NA,3048000
"United States of America","Goats","Head","2008",NA,3118000
"United States of America","Goats","Head","2009",NA,3069000
"United States of America","Goats","Head","2010",NA,3038000
"United States of America","Goats","Head","2011",NA,2996000
"United States of America","Goats","Head","2012",NA,2703000
"United States of America","Goats","Head","2013",NA,2632000
"United States of America","Goats","Head","2014",NA,2611000
"United States of America","Goats","Head","2015",NA,2650000
"United States of America","Goats","Head","2016",NA,2615000
"United States of America","Goats","Head","2017",NA,2627000
"United States of America","Goats","Head","2018",NA,2639000
"United States of America","Horses","Head","1961","F",2367000
"United States of America","Horses","Head","1962","F",2130000
"United States of America","Horses","Head","1963","F",1819000
"United States of America","Horses","Head","1964","F",1502000
"United States of America","Horses","Head","1965","F",2719000
"United States of America","Horses","Head","1966","F",2863000
"United States of America","Horses","Head","1967","F",3105000
"United States of America","Horses","Head","1968","F",3475000
"United States of America","Horses","Head","1969","F",3758000
"United States of America","Horses","Head","1970","F",4141000
"United States of America","Horses","Head","1971","F",4557000
"United States of America","Horses","Head","1972","F",4556000
"United States of America","Horses","Head","1973","F",4605000
"United States of America","Horses","Head","1974","F",4655000
"United States of America","Horses","Head","1975","F",4705000
"United States of America","Horses","Head","1976","F",4735000
"United States of America","Horses","Head","1977","F",4743000
"United States of America","Horses","Head","1978","F",4953000
"United States of America","Horses","Head","1979","F",4973000
"United States of America","Horses","Head","1980","F",5013000
"United States of America","Horses","Head","1981","F",5031000
"United States of America","Horses","Head","1982","F",5051000
"United States of America","Horses","Head","1983","F",5079000
"United States of America","Horses","Head","1984","F",5108000
"United States of America","Horses","Head","1985","*",5151000
"United States of America","Horses","Head","1986","F",5151000
"United States of America","Horses","Head","1987","F",5048000
"United States of America","Horses","Head","1988","F",5076000
"United States of America","Horses","Head","1989","F",5067000
"United States of America","Horses","Head","1990","F",5069000
"United States of America","Horses","Head","1991","F",5100000
"United States of America","Horses","Head","1992","F",5121000
"United States of America","Horses","Head","1993","F",5130000
"United States of America","Horses","Head","1994","F",5110000
"United States of America","Horses","Head","1995","F",5130000
"United States of America","Horses","Head","1996","F",5150000
"United States of America","Horses","Head","1997","*",5170000
"United States of America","Horses","Head","1998","*",5237000
"United States of America","Horses","Head","1999",NA,5170000
"United States of America","Horses","Head","2000",NA,5240000
"United States of America","Horses","Head","2001","F",5500000
"United States of America","Horses","Head","2002","F",6e+06
"United States of America","Horses","Head","2003","F",7e+06
"United States of America","Horses","Head","2004","F",8e+06
"United States of America","Horses","Head","2005",NA,9200000
"United States of America","Horses","Head","2006","F",9500000
"United States of America","Horses","Head","2007","F",9500000
"United States of America","Horses","Head","2008","F",9500000
"United States of America","Horses","Head","2009","F",9800000
"United States of America","Horses","Head","2010","F",1e+07
"United States of America","Horses","Head","2011","F",10150000
"United States of America","Horses","Head","2012","F",10250000
"United States of America","Horses","Head","2013","F",10250000
"United States of America","Horses","Head","2014","F",10260000
"United States of America","Horses","Head","2015","Im",10266497
"United States of America","Horses","Head","2016","Im",10452605
"United States of America","Horses","Head","2017","Im",10436349
"United States of America","Horses","Head","2018","Im",10479246
"United States of America","Mules","Head","1961","F",20000
"United States of America","Mules","Head","1962","F",20000
"United States of America","Mules","Head","1963","F",20000
